windpark_nve_id,windpark_nve,windpark_statnet,bidding_area,province,county,production_start_date,reported_operating_power_max,operating_power_max,mean_hub_height,mean_production,mean_rotor_diameter,num_turbines,elevation,ruggedness
20,Bessakerfjellet,Bessakerfjellet,ELSPOT NO3,Trøndelag,Åfjord,2007-09-10T00:00:00.000000,57.5,57.5,64.0,2300.0,71.0,25,342.0813949295535,16.556494422020315
72,Bjerkreim,Bjerk_VK Vindpark,ELSPOT NO2,Rogaland,Bjerkreim,2019-12-19T00:00:00.000000,155.4,174.60000610351562,125.0,4200.0,130.0,37,231.08009830835502,8.664090912085957
1088,Buheii,Buheii Vindpark,ELSPOT NO2,Agder,Kvinesdal,2021-09-22T00:00:00.000000,79.8,79.8,105.0,4200.0,150.0,19,746.5200270011248,13.918192015535777
1095,Dønnesfjord,Dønnesfjord Vind,ELSPOT NO4,Finnmark,Hasvik,2022-12-18T00:00:00.000000,14.1,14.1,69.0,2350.0,92.0,6,311.3327983975578,10.968610823733558
50,Egersund,Egersund Vindkrv,ELSPOT NO2,Rogaland,Eigersund,2017-11-09T00:00:00.000000,112.2,112.2,93.0,3400.0,114.0,33,240.13547230333512,8.71921981051506
37,Fakken,Fakken,ELSPOT NO4,Troms,Karlsøy,2012-06-01T00:00:00.000000,54.0,54.0,80.0,3000.0,90.0,18,26.217214270504865,3.08310772436262
1081,Frøya,Frøya Vindpark,ELSPOT NO3,Trøndelag,Frøya,2020-09-29T00:00:00.000000,58.8,58.8,112.0,4200.0,136.0,14,51.49650113360378,0.5113577889986224
1077,Geitfjellet,Geitfjellet,ELSPOT NO3,Trøndelag,"Heim, Orkland",2020-07-22T00:00:00.000000,180.6,180.6,87.0,4200.0,136.0,43,466.5362229154178,11.87195500912259
1093,Gismarvik,Gismarvik Vindpark,ELSPOT NO2,Rogaland,Tysvær,2021-09-06T00:00:00.000000,12.6,12.729999542236328,131.0,4200.0,138.0,3,24.99843472487941,0.34782699442468584
1078,Guleslettene,Guleslettene Vindpark,ELSPOT NO3,Vestland,"Kinn, Bremanger",2020-08-14T00:00:00.000000,197.4,197.4,90.0,4200.0,136.0,47,591.580374276894,10.284536500017833
52,Hamnefjell,Hamnefjell,ELSPOT NO4,Finnmark,Båtsfjord,2017-09-04T00:00:00.000000,51.75,51.75,84.0,3450.0,112.0,15,410.3979204875442,2.889361502301898
1084,Haram,Haram Kraft,ELSPOT NO3,Møre og Romsdal,Haram,2021-07-12T00:00:00.000000,33.6,33.6,82.0,4200.0,136.0,8,283.1496847843823,20.200113925482146
1080,Harbaksfjellet,Harbaksfjellet,ELSPOT NO3,Trøndelag,Åfjord,2020-09-10T00:00:00.000000,126.0,128.50599670410156,87.0,4200.0,117.0,30,304.80790058104355,12.593323160538512
3,Havøygavlen,Havøygavlen,ELSPOT NO4,Finnmark,Måsøy,2002-10-15T00:00:00.000000,40.8,40.8,89.9,4080.0,115.4,10,229.84540844544074,14.17059000625255
73,Hennøy,Hennøy,ELSPOT NO3,Vestland,Bremanger,2019-12-18T00:00:00.000000,50.4,50.4,82.0,4200.0,136.0,12,475.2712516800649,26.046628626172343
19,Hitra,Hitra,ELSPOT NO3,Trøndelag,Hitra,2004-08-16T00:00:00.000000,55.2,55.2,70.0,2300.0,82.0,24,265.90401336778694,5.0
68,Hitra 2,Hitra,ELSPOT NO3,Trøndelag,Hitra,2019-09-02T00:00:00.000000,93.6,93.6,87.0,3600.0,117.0,26,201.80949218959327,6.079458686331465
7,Hundhammerfjellet,Hundhammerfjelle,ELSPOT NO3,Trøndelag,Nærøysund,1998-09-19T00:00:00.000000,55.0,55.0,86.3,3928.6,126.7,14,208.69043056522332,13.10726392817302
31,Høg-Jæren,Høg Jæren,ELSPOT NO2,Rogaland,"Hå, Time",2011-05-21T00:00:00.000000,73.6,73.6,80.0,2300.0,93.0,32,222.8178497000826,0.0
1082,Kjølberget,Kjølberget,ELSPOT NO1,Innlandet,Våler (Innlandet),2020-10-12T00:00:00.000000,55.9,55.9,145.0,4300.0,150.0,13,605.8571676777085,1.5230532565795991
2,Kjøllefjord,Kjøllefjord vindpark,ELSPOT NO4,Finnmark,Lebesby,2006-10-10T00:00:00.000000,39.1,44.12160110473633,70.0,2300.0,82.0,17,275.5148226343461,2.053700856762246
1074,Kvenndalsfjellet,Kvenndalsfjellet,ELSPOT NO3,Trøndelag,Åfjord,2020-06-26T00:00:00.000000,113.4,113.4,87.0,4200.0,117.0,27,383.9209806628945,29.555279230480476
70,Kvitfjell,Kvitfjell vindpark,ELSPOT NO4,Troms,Tromsø,2019-08-05T00:00:00.000000,197.4,197.4,85.0,4200.0,130.0,47,535.1790976242004,12.933747209421327
66,Lindesnes,Lista VK,ELSPOT NO2,Agder,Lindesnes,2019-07-03T00:00:00.000000,7.2,13.831000328063965,98.0,3600.0,112.0,2,94.5490803985168,10.968408749093719
38,Lista,Lista VK,ELSPOT NO2,Agder,Farsund,2012-10-27T00:00:00.000000,71.3,71.3,80.0,2300.0,93.0,31,228.23010932860024,19.419427704796547
1092,Lutelandet,Lutelandet,ELSPOT NO3,Vestland,Fjaler,2021-10-27T00:00:00.000000,51.3,51.3,105.0,5700.0,149.0,9,13.512851418347323,0.27061312083154915
11,METCentre Karmøy,Skudeneshavn,ELSPOT NO2,Rogaland,Karmøy,2009-09-08T00:00:00.000000,5.9,5.9,79.0,2950.0,106.0,2,0.0,0.0
64,Marker,Marker Vindpark,ELSPOT NO1,Østfold,Marker,2019-02-01T00:00:00.000000,54.0,54.0,142.0,3600.0,136.0,15,188.09672229634117,0.0
12,Mehuken,Mehuken,ELSPOT NO3,Vestland,Kinn,2001-07-01T00:00:00.000000,25.3,25.3,64.0,2300.0,71.0,11,405.03930173656704,24.459089639182068
43,Midtfjellet,Midtfjellet,ELSPOT NO2,Vestland,Fitjar,2012-01-01T00:00:00.000000,149.6,149.6,82.2,2720.0,97.2,55,413.0016193959319,10.758099452555179
1075,Måkaknuten,Måkaknuten,ELSPOT NO2,Rogaland,"Bjerkreim, Gjesdal",2020-07-09T00:00:00.000000,94.6,94.6,125.0,4300.0,130.0,22,301.1646195555518,10.68968859563468
1096,Nye Sandøy,Sandøy Vindkraft,ELSPOT NO3,Møre og Romsdal,Ålesund,2023-09-20T00:00:00.000000,4.25,4.25,52.0,850.0,52.0,5,13.814505466983473,0.0
6,Nygårdsfjellet,Nygårdsfjellet,ELSPOT NO4,Nordland,Narvik,2005-10-01T00:00:00.000000,32.2,32.2,82.8,2300.0,90.6,14,404.45387400232613,7.603897982338246
1094,Odal,Engerfjellet,ELSPOT NO1,Innlandet,Nord-Odal,2021-12-23T00:00:00.000000,163.2,163.2,144.0,4800.0,145.0,34,450.84361968600587,2.9999999999999996
1091,Okla,Okla Vindkraftverk,ELSPOT NO3,Vestland,Stad,2021-11-15T00:00:00.000000,21.0,21.0,90.0,4200.0,117.0,5,356.5824720711896,14.108290398553663
46,Raggovidda,Raggovidda,ELSPOT NO4,Finnmark,Berlevåg,2014-09-11T00:00:00.000000,45.0,45.20000076293945,80.0,3000.0,101.0,15,441.2455541013954,0.0
1090,Raggovidda 2,Raggovidda,ELSPOT NO4,Finnmark,Berlevåg,2021-11-10T00:00:00.000000,51.6,51.6,80.0,4300.0,130.0,12,441.2455541013954,0.0
57,Raskiftet,Raskiftet,ELSPOT NO1,Innlandet,"Trysil, Åmot",2018-10-16T00:00:00.000000,111.6,111.88800048828125,117.0,3600.0,126.0,31,698.8600209298411,1.2145318081349936
1076,Raudfjell,Raudfjell Vindpark,ELSPOT NO4,Troms,Tromsø,2020-07-11T00:00:00.000000,84.0,84.4000015258789,85.0,4200.0,130.0,20,536.2448662350723,18.955718640188334
56,Roan,Haraheia,ELSPOT NO3,Trøndelag,Åfjord,2018-05-07T00:00:00.000000,255.6,255.6,87.0,3600.0,117.0,71,371.50199624802764,18.00659402802192
47,Røyrmyra,Stokkeland,ELSPOT NO2,Rogaland,Hå,2015-10-01T00:00:00.000000,2.4,2.4412920475006104,65.0,800.0,48.0,3,169.72214433245705,1.0
4,Sandøy,Sandøy Vindkraft,ELSPOT NO3,Møre og Romsdal,Ålesund,1999-12-10T00:00:00.000000,0.0,4.124000072479248,89.63384615384615,,,0,13.814505466983473,0.0
67,Skinansfjellet og Gravdal,Bjerk_VK Vindpark,ELSPOT NO2,Rogaland,"Bjerkreim, Hå",2019-07-25T00:00:00.000000,138.6,139.3000030517578,125.0,4200.0,130.0,33,196.77241211481913,5.0
48,Skomakerfjellet,Skomakerfjellet,ELSPOT NO3,Trøndelag,Åfjord,2015-12-31T00:00:00.000000,13.2,13.2,94.0,3300.0,112.0,4,305.2546898525097,21.329321271042446
62,Skurvenuten,Stokkeland,ELSPOT NO2,Rogaland,Gjesdal,2018-10-13T00:00:00.000000,6.9,7.2118611335754395,92.0,3450.0,117.0,2,306.6248212949136,14.77940566525911
5,Smøla,Smøla,ELSPOT NO3,Møre og Romsdal,Smøla,2002-09-05T00:00:00.000000,145.8,148.4600067138672,70.0,2209.1,80.2,66,23.514690782679924,0.0
1073,Stigafjellet,Måkaknuten,ELSPOT NO2,Rogaland,Bjerkreim,2020-06-22T00:00:00.000000,30.1,30.1,115.0,4300.0,130.0,7,360.80156388267847,15.17807992637804
1087,Stokkfjellet,Stokkfjellet,ELSPOT NO3,Trøndelag,Selbu,2021-09-09T00:00:00.000000,88.2,88.2,112.0,4200.0,136.0,21,647.974846292381,2.1594912916836706
65,Storheia,Storheia,ELSPOT NO3,Trøndelag,"Ørland, Åfjord",2019-06-21T00:00:00.000000,288.0,288.0,87.0,3600.0,117.0,80,445.5221256367914,10.20296827624186
61,Storøy,Storøy vindpark,ELSPOT NO2,Rogaland,Karmøy,2018-09-19T00:00:00.000000,6.4,6.452899932861328,92.0,3200.0,115.0,2,14.579441659978295,0.0
53,Svåheia,Svåheia,ELSPOT NO2,Rogaland,Eigersund,2018-02-12T00:00:00.000000,25.2,25.2,87.0,3600.0,126.0,7,83.40488432284414,11.461975160962105
1083,Sørfjord,Sørfj. Vindkraft,ELSPOT NO4,Nordland,Hamarøy,2020-02-01T00:00:00.000000,98.9,98.9,80.0,4300.0,130.0,23,579.1163178409176,17.47966179194913
1085,Sørmarkfjellet,Sørmarkfjellet,ELSPOT NO3,Trøndelag,"Osen, Flatanger",2021-07-29T00:00:00.000000,130.2,130.2,87.0,4200.0,117.0,31,278.22594214342917,18.166054853737148
51,Tellenes,Tellenes,ELSPOT NO2,Rogaland,"Sokndal, Lund",2017-08-14T00:00:00.000000,160.0,165.0,95.0,3200.0,113.0,50,345.24629867136673,26.139568924060505
55,Tindafjellet,Tindafjellet,ELSPOT NO2,Rogaland,Gjesdal,2018-03-01T00:00:00.000000,10.35,10.35,92.0,3450.0,117.0,3,348.99140553921524,21.198139930537884
69,Tonstad,Tonst. Vindpark,ELSPOT NO2,Agder,"Flekkefjord, Sirdal",2019-09-20T00:00:00.000000,208.3,208.3,129.0,4084.3,142.0,51,565.1737879078892,11.0
1089,Tysvær,Tysvær Vindpark,ELSPOT NO2,Rogaland,Tysvær,2021-10-21T00:00:00.000000,47.3,47.3,85.0,4300.0,130.0,11,241.66634869379396,13.0
10,Utsira,Storøy vindpark,ELSPOT NO2,Rogaland,Utsira,2003-09-18T00:00:00.000000,1.2,1.2,46.0,600.0,40.0,2,17.713350917601094,1.3177109464831813
21,Valsneset,Valsneset,ELSPOT NO3,Trøndelag,Ørland,2006-10-27T00:00:00.000000,11.5,11.710000038146973,64.0,2300.0,71.0,5,5.829330348744756,0.0
71,Valsneset vindkraftverk,Valsn_Vimle,ELSPOT NO3,Trøndelag,Ørland,2019-12-08T00:00:00.000000,12.6,12.6,82.0,4200.0,117.0,3,5.829330348744756,0.0
1079,Vardafjellet,Vardafjell,ELSPOT NO2,Rogaland,Sandnes,2020-07-21T00:00:00.000000,30.1,30.1,91.0,4300.0,117.0,7,289.9302074053272,13.191656159362296
